symbol,year,product,month_production
کگل,1401,کنسانتره سنگ آهن,10150756.0
کگل,1401,گندله,9789679.0
کگل,1401,گندله ریزدانه,97647.0
کگل,1401,گندله ریزدانه صادراتی,0.0
کگل,1402,ضایعات گندله و کنسانتره,0.0
کگل,1402,کنسانتره سنگ آهن,8009317.0
کگل,1402,گندله,8816609.0
کگل,1402,گندله ریزدانه,57799.0
کگل,1402,گندله ریزدانه صادراتی,0.0
کگل,1403,ضایعات گندله و کنسانتره,0.0
کگل,1403,کنسانتره سنگ آهن,11086325.0
کگل,1403,گندله,11137520.0
کگل,1403,گندله ریزدانه,70800.0
کگل,1403,گندله ریزدانه صادراتی,0.0
کگل,1404,کنسانتره سنگ آهن,13737500.0
کگل,1404,گندله,12403503.0
کگل,1404,گندله ریزدانه,91783.0
کگل,1404,گندله ریزدانه صادراتی,0.0
کگل,1405,کنسانتره سنگ آهن,3074074.0
کگل,1405,گندله,2943673.0
کگل,1405,گندله ریزدانه,21027.0
کگهر,1400,کنسانتره بورس کالا,0.0
کگهر,1400,کنسانتره سنگ آهن,4878753.0
کگهر,1400,کنسانتره سنگ آهن صادراتی,0.0
کگهر,1400,گندله,3612620.0
کگهر,1400,گندله بورس کالا,0.0
کگهر,1400,گندله صادراتی,49772.0
کگهر,1401,کنسانتره بورس کالا,0.0
کگهر,1401,کنسانتره سنگ آهن,6484629.0
کگهر,1401,کنسانتره سنگ آهن صادراتی,0.0
کگهر,1401,گندله,3279610.0
کگهر,1401,گندله بورس کالا,0.0
کگهر,1401,گندله صادراتی,0.0
کگهر,1402,نرمه گندله صادراتی(گندله ریزدانه),0.0
کگهر,1402,کنسانتره بورس کالا,0.0
کگهر,1402,کنسانتره سنگ آهن,7016439.0
کگهر,1402,کنسانتره سنگ آهن صادراتی,0.0
کگهر,1402,گندله,5334026.0
کگهر,1402,گندله بورس کالا,0.0
کگهر,1402,گندله صادراتی,0.0
کگهر,1403,نرمه گندله صادراتی(گندله ریزدانه),0.0
کگهر,1403,کنسانتره بورس کالا,0.0
کگهر,1403,کنسانتره سنگ آهن,7434457.0
کگهر,1403,کنسانتره سنگ آهن صادراتی,0.0
کگهر,1403,گندله,5595119.0
کگهر,1403,گندله اختلاطی,0.0
کگهر,1403,گندله بورس کالا,0.0
کگهر,1403,گندله صادراتی,0.0
کگهر,1404,آهن اسفنجی,0.0
کگهر,1404,ضایعات شمش,16009.0
کگهر,1404,نرمه آهن اسفنجی,26819.0
کگهر,1404,نرمه گندله,5177.0
کگهر,1404,نرمه گندله صادراتی(گندله ریزدانه),0.0
کگهر,1404,کنسانتره بورس کالا,0.0
کگهر,1404,کنسانتره سنگ آهن,8149192.0
کگهر,1404,کنسانتره سنگ آهن صادراتی,0.0
کگهر,1404,گندله,6139016.0
کگهر,1404,گندله اختلاطی,0.0
کگهر,1404,گندله بورس کالا,0.0
کگهر,1404,گندله صادراتی,0.0
کگهر,1405,آهن اسفنجی,0.0
کگهر,1405,ضایعات شمش,839.0
کگهر,1405,نرمه آهن اسفنجی,0.0
کگهر,1405,نرمه گندله,0.0
کگهر,1405,نرمه گندله صادراتی(گندله ریزدانه),0.0
کگهر,1405,کنسانتره بورس کالا,0.0
کگهر,1405,کنسانتره سنگ آهن,1974403.0
کگهر,1405,کنسانتره سنگ آهن صادراتی,0.0
کگهر,1405,گندله,1432094.0
کگهر,1405,گندله اختلاطی,0.0
کگهر,1405,گندله بورس کالا,0.0
کگهر,1405,گندله صادراتی,0.0
