date,usd_irr,date_jalali
2012-07-16,19090.0,1391/04/26
2012-07-17,19150.0,1391/04/27
2012-07-18,19100.0,1391/04/28
2012-07-21,18990.0,1391/04/31
2012-07-22,19080.0,1391/05/01
2012-07-23,19210.0,1391/05/02
2012-07-24,19290.0,1391/05/03
2012-07-25,19573.0,1391/05/04
2012-07-28,19470.0,1391/05/07
2012-07-29,19680.0,1391/05/08
2012-07-30,19710.0,1391/05/09
2012-07-31,20070.0,1391/05/10
2012-08-01,20190.0,1391/05/11
2012-08-04,20440.0,1391/05/14
2012-08-05,21460.0,1391/05/15
2012-08-06,21980.0,1391/05/16
2012-08-07,20850.0,1391/05/17
2012-08-08,21272.0,1391/05/18
2012-08-11,21480.0,1391/05/21
2012-08-12,21300.0,1391/05/22
2012-08-13,21210.0,1391/05/23
2012-08-14,21070.0,1391/05/24
2012-08-15,21251.0,1391/05/25
2012-08-17,21240.0,1391/05/27
2012-08-21,21360.0,1391/05/31
2012-08-22,21701.0,1391/06/01
2012-08-25,21730.0,1391/06/04
2012-08-26,21960.0,1391/06/05
2012-08-27,21940.0,1391/06/06
2012-08-28,21831.0,1391/06/07
2012-08-29,21914.0,1391/06/08
2012-09-01,21590.0,1391/06/11
2012-09-02,21730.0,1391/06/12
2012-09-03,21820.0,1391/06/13
2012-09-04,22180.0,1391/06/14
2012-09-05,22376.0,1391/06/15
2012-09-08,24480.0,1391/06/18
2012-09-09,25600.0,1391/06/19
2012-09-10,24734.0,1391/06/20
2012-09-12,24195.0,1391/06/22
2012-09-15,24470.0,1391/06/25
2012-09-16,24930.0,1391/06/26
2012-09-17,24360.0,1391/06/27
2012-09-18,24280.0,1391/06/28
2012-09-19,24473.0,1391/06/29
2012-09-22,24760.0,1391/07/01
2012-09-23,25200.0,1391/07/02
2012-09-24,25480.0,1391/07/03
2012-09-25,26300.0,1391/07/04
2012-09-26,26950.0,1391/07/05
2012-09-29,29800.0,1391/07/08
2012-09-30,34700.0,1391/07/09
2012-10-01,36100.0,1391/07/10
2012-10-02,34000.0,1391/07/11
2012-10-03,30000.0,1391/07/12
2012-10-06,30000.0,1391/07/15
2012-10-07,33400.0,1391/07/16
2012-10-08,33000.0,1391/07/17
2012-10-09,33000.0,1391/07/18
2012-10-10,33948.0,1391/07/19
2012-10-13,34000.0,1391/07/22
2012-10-14,35200.0,1391/07/23
2012-10-15,36000.0,1391/07/24
2012-10-16,33350.0,1391/07/25
2012-10-17,35840.0,1391/07/26
2012-10-20,35400.0,1391/07/29
2012-10-21,36000.0,1391/07/30
2012-10-22,32700.0,1391/08/01
2012-10-23,34000.0,1391/08/02
2012-10-24,34000.0,1391/08/03
2012-10-25,34000.0,1391/08/04
2012-10-27,32900.0,1391/08/06
2012-10-28,33400.0,1391/08/07
2012-10-29,33000.0,1391/08/08
2012-10-30,32900.0,1391/08/09
2012-10-31,32900.0,1391/08/10
2012-11-01,32900.0,1391/08/11
2012-11-04,29500.0,1391/08/14
2012-11-05,32000.0,1391/08/15
2012-11-06,31800.0,1391/08/16
2012-11-07,31800.0,1391/08/17
2012-11-08,31800.0,1391/08/18
2012-11-10,30700.0,1391/08/20
2012-11-11,30500.0,1391/08/21
2012-11-12,30000.0,1391/08/22
2012-11-13,29800.0,1391/08/23
2012-11-14,29800.0,1391/08/24
2012-11-15,29800.0,1391/08/25
2012-11-17,28500.0,1391/08/27
2012-11-18,28000.0,1391/08/28
2012-11-19,26500.0,1391/08/29
2012-11-20,28400.0,1391/08/30
2012-11-21,29000.0,1391/09/01
2012-11-22,29000.0,1391/09/02
2012-11-26,28000.0,1391/09/06
2012-11-27,29000.0,1391/09/07
2012-11-28,29050.0,1391/09/08
2012-12-01,29300.0,1391/09/11
2012-12-02,29300.0,1391/09/12
2012-12-03,29100.0,1391/09/13
2012-12-04,29300.0,1391/09/14
2012-12-05,29300.0,1391/09/15
2012-12-06,29300.0,1391/09/16
2012-12-08,29000.0,1391/09/18
2012-12-09,29800.0,1391/09/19
2012-12-10,30100.0,1391/09/20
2012-12-11,29950.0,1391/09/21
2012-12-12,29730.0,1391/09/22
2012-12-15,30000.0,1391/09/25
2012-12-16,30330.0,1391/09/26
2012-12-17,31100.0,1391/09/27
2012-12-18,30850.0,1391/09/28
2012-12-19,31100.0,1391/09/29
2012-12-22,32400.0,1391/10/02
2012-12-23,33320.0,1391/10/03
2012-12-24,33320.0,1391/10/04
2012-12-25,32750.0,1391/10/05
2012-12-26,32580.0,1391/10/06
2012-12-29,32300.0,1391/10/09
2012-12-30,32400.0,1391/10/10
2012-12-31,32400.0,1391/10/11
2013-01-01,32378.0,1391/10/12
2013-01-05,32460.0,1391/10/16
2013-01-06,32350.0,1391/10/17
2013-01-07,32660.0,1391/10/18
2013-01-08,32850.0,1391/10/19
2013-01-09,32800.0,1391/10/20
2013-01-13,32900.0,1391/10/24
2013-01-14,33050.0,1391/10/25
2013-01-15,33050.0,1391/10/26
2013-01-16,33323.0,1391/10/27
2013-01-19,34100.0,1391/10/30
2013-01-21,36190.0,1391/11/02
2013-01-22,35600.0,1391/11/03
2013-01-23,35423.0,1391/11/04
2013-01-26,36520.0,1391/11/07
2013-01-27,36500.0,1391/11/08
2013-01-28,36600.0,1391/11/09
2013-01-30,38830.0,1391/11/11
2013-02-02,38100.0,1391/11/14
2013-02-03,38250.0,1391/11/15
2013-02-04,38500.0,1391/11/16
2013-02-05,37150.0,1391/11/17
2013-02-06,38410.0,1391/11/18
2013-02-08,37950.0,1391/11/20
2013-02-11,37200.0,1391/11/23
2013-02-12,36500.0,1391/11/24
2013-02-13,37370.0,1391/11/25
2013-02-16,36800.0,1391/11/28
2013-02-17,37100.0,1391/11/29
2013-02-18,37250.0,1391/11/30
2013-02-19,36900.0,1391/12/01
2013-02-20,36752.0,1391/12/02
2013-02-23,36750.0,1391/12/05
2013-02-24,37460.0,1391/12/06
2013-02-25,37650.0,1391/12/07
2013-02-26,37050.0,1391/12/08
2013-02-27,36613.0,1391/12/09
2013-03-02,34900.0,1391/12/12
2013-03-03,33050.0,1391/12/13
2013-03-04,34400.0,1391/12/14
2013-03-05,35900.0,1391/12/15
2013-03-06,35620.0,1391/12/16
2013-03-09,34750.0,1391/12/19
2013-03-10,35100.0,1391/12/20
2013-03-11,34750.0,1391/12/21
2013-03-12,34400.0,1391/12/22
2013-03-13,33400.0,1391/12/23
2013-03-16,34100.0,1391/12/26
2013-03-17,34505.0,1391/12/27
2013-03-24,34958.0,1392/01/04
2013-03-25,34321.0,1392/01/05
2013-03-26,34077.0,1392/01/06
2013-03-27,34218.0,1392/01/07
2013-03-29,34244.0,1392/01/09
2013-03-30,34867.0,1392/01/10
2013-04-02,34475.0,1392/01/13
2013-04-03,34949.0,1392/01/14
2013-04-06,36350.0,1392/01/17
2013-04-07,35400.0,1392/01/18
2013-04-08,35400.0,1392/01/19
2013-04-09,35150.0,1392/01/20
2013-04-10,35098.0,1392/01/21
2013-04-12,35127.0,1392/01/23
2013-04-15,35050.0,1392/01/26
2013-04-16,35250.0,1392/01/27
2013-04-17,35290.0,1392/01/28
2013-04-20,35350.0,1392/01/31
2013-04-21,35500.0,1392/02/01
2013-04-22,35600.0,1392/02/02
2013-04-23,36400.0,1392/02/03
2013-04-24,35904.0,1392/02/04
2013-04-27,35850.0,1392/02/07
2013-04-28,35900.0,1392/02/08
2013-04-29,35800.0,1392/02/09
2013-04-30,35700.0,1392/02/10
2013-05-01,35562.0,1392/02/11
2013-05-04,36000.0,1392/02/14
2013-05-05,35700.0,1392/02/15
2013-05-06,35600.0,1392/02/16
2013-05-07,35450.0,1392/02/17
2013-05-08,34777.0,1392/02/18
2013-05-11,34900.0,1392/02/21
2013-05-12,35300.0,1392/02/22
2013-05-13,35250.0,1392/02/23
2013-05-14,35050.0,1392/02/24
2013-05-15,35055.0,1392/02/25
2013-05-18,34750.0,1392/02/28
2013-05-19,34700.0,1392/02/29
2013-05-20,34900.0,1392/02/30
2013-05-21,35650.0,1392/02/31
2013-05-22,35661.0,1392/03/01
2013-05-25,36150.0,1392/03/04
2013-05-26,36280.0,1392/03/05
2013-05-27,36850.0,1392/03/06
2013-05-28,36580.0,1392/03/07
2013-05-29,36340.0,1392/03/08
2013-06-01,36280.0,1392/03/11
2013-06-02,36478.0,1392/03/12
2013-06-05,36459.0,1392/03/15
2013-06-08,36300.0,1392/03/18
2013-06-09,36200.0,1392/03/19
2013-06-10,35850.0,1392/03/20
2013-06-11,36450.0,1392/03/21
2013-06-12,35660.0,1392/03/22
2013-06-15,35100.0,1392/03/25
2013-06-16,34550.0,1392/03/26
2013-06-17,34500.0,1392/03/27
2013-06-18,34000.0,1392/03/28
2013-06-19,32200.0,1392/03/29
2013-06-22,32550.0,1392/04/01
2013-06-25,32950.0,1392/04/04
2013-06-26,33220.0,1392/04/05
2013-06-29,33500.0,1392/04/08
2013-06-30,33900.0,1392/04/09
2013-07-01,33700.0,1392/04/10
2013-07-02,33600.0,1392/04/11
2013-07-03,33458.0,1392/04/12
2013-07-06,32950.0,1392/04/15
2013-07-07,33350.0,1392/04/16
2013-07-08,33100.0,1392/04/17
2013-07-09,33000.0,1392/04/18
2013-07-10,33114.0,1392/04/19
2013-07-13,32700.0,1392/04/22
2013-07-14,32600.0,1392/04/23
2013-07-15,32600.0,1392/04/24
2013-07-16,32150.0,1392/04/25
2013-07-17,31600.0,1392/04/26
2013-07-20,31150.0,1392/04/29
2013-07-21,31600.0,1392/04/30
2013-07-22,31200.0,1392/04/31
2013-07-23,31650.0,1392/05/01
2013-07-24,31670.0,1392/05/02
2013-07-27,31800.0,1392/05/05
2013-07-28,31700.0,1392/05/06
2013-07-31,31920.0,1392/05/09
2013-08-03,32400.0,1392/05/12
2013-08-04,32000.0,1392/05/13
2013-08-05,31900.0,1392/05/14
2013-08-06,32250.0,1392/05/15
2013-08-07,32181.0,1392/05/16
2013-08-11,32250.0,1392/05/20
2013-08-12,31950.0,1392/05/21
2013-08-13,31950.0,1392/05/22
2013-08-14,31700.0,1392/05/23
2013-08-17,31580.0,1392/05/26
2013-08-18,31450.0,1392/05/27
2013-08-19,31000.0,1392/05/28
2013-08-20,30950.0,1392/05/29
2013-08-21,31200.0,1392/05/30
2013-08-24,31200.0,1392/06/02
2013-08-25,31250.0,1392/06/03
2013-08-26,31750.0,1392/06/04
2013-08-27,33000.0,1392/06/05
2013-08-28,32530.0,1392/06/06
2013-08-31,32580.0,1392/06/09
2013-09-03,33050.0,1392/06/12
2013-09-04,33030.0,1392/06/13
2013-09-07,32900.0,1392/06/16
2013-09-08,32850.0,1392/06/17
2013-09-09,32000.0,1392/06/18
2013-09-10,31800.0,1392/06/19
2013-09-11,31720.0,1392/06/20
2013-09-14,31700.0,1392/06/23
2013-09-15,31300.0,1392/06/24
2013-09-16,30600.0,1392/06/25
2013-09-17,30800.0,1392/06/26
2013-09-18,30130.0,1392/06/27
2013-09-21,29300.0,1392/06/30
2013-09-22,29350.0,1392/06/31
2013-09-23,29350.0,1392/07/01
2013-09-24,30700.0,1392/07/02
2013-09-25,30450.0,1392/07/03
2013-09-28,30650.0,1392/07/06
2013-09-29,30350.0,1392/07/07
2013-09-30,30550.0,1392/07/08
2013-10-01,30550.0,1392/07/09
2013-10-02,30519.0,1392/07/10
2013-10-05,30550.0,1392/07/13
2013-10-06,30450.0,1392/07/14
2013-10-07,30500.0,1392/07/15
2013-10-08,30350.0,1392/07/16
2013-10-09,30350.0,1392/07/17
2013-10-12,30150.0,1392/07/20
2013-10-13,30350.0,1392/07/21
2013-10-14,30372.0,1392/07/22
2013-10-16,30227.0,1392/07/24
2013-10-19,30150.0,1392/07/27
2013-10-20,29950.0,1392/07/28
2013-10-21,30100.0,1392/07/29
2013-10-22,30130.0,1392/07/30
2013-10-26,30100.0,1392/08/04
2013-10-27,30100.0,1392/08/05
2013-10-28,30150.0,1392/08/06
2013-10-29,30050.0,1392/08/07
2013-10-30,30082.0,1392/08/08
2013-11-02,30400.0,1392/08/11
2013-11-03,30300.0,1392/08/12
2013-11-04,30100.0,1392/08/13
2013-11-05,30180.0,1392/08/14
2013-11-06,30036.0,1392/08/15
2013-11-09,30250.0,1392/08/18
2013-11-10,30150.0,1392/08/19
2013-11-11,30173.0,1392/08/20
2013-11-16,30100.0,1392/08/25
2013-11-17,30030.0,1392/08/26
2013-11-18,30070.0,1392/08/27
2013-11-19,30050.0,1392/08/28
2013-11-20,30060.0,1392/08/29
2013-11-23,29400.0,1392/09/02
2013-11-24,29150.0,1392/09/03
2013-11-25,29750.0,1392/09/04
2013-11-26,29900.0,1392/09/05
2013-11-27,29614.0,1392/09/06
2013-11-30,29530.0,1392/09/09
2013-12-01,29530.0,1392/09/10
2013-12-02,29450.0,1392/09/11
2013-12-03,29550.0,1392/09/12
2013-12-04,29507.0,1392/09/13
2013-12-07,29460.0,1392/09/16
2013-12-08,29420.0,1392/09/17
2013-12-09,29480.0,1392/09/18
2013-12-10,29390.0,1392/09/19
2013-12-11,29476.0,1392/09/20
2013-12-14,29520.0,1392/09/23
2013-12-15,29470.0,1392/09/24
2013-12-16,29440.0,1392/09/25
2013-12-17,29490.0,1392/09/26
2013-12-18,29450.0,1392/09/27
2013-12-21,29581.0,1392/09/30
2013-12-24,29670.0,1392/10/03
2013-12-25,29969.0,1392/10/04
2013-12-28,30150.0,1392/10/07
2013-12-29,30060.0,1392/10/08
2013-12-30,30070.0,1392/10/09
2014-01-01,29920.0,1392/10/11
2014-01-04,29740.0,1392/10/14
2014-01-05,29800.0,1392/10/15
2014-01-06,29850.0,1392/10/16
2014-01-07,29900.0,1392/10/17
2014-01-08,29800.0,1392/10/18
2014-01-11,29790.0,1392/10/21
2014-01-12,29560.0,1392/10/22
2014-01-13,29630.0,1392/10/23
2014-01-14,29570.0,1392/10/24
2014-01-15,29469.0,1392/10/25
2014-01-18,29360.0,1392/10/28
2014-01-20,29340.0,1392/10/30
2014-01-21,29510.0,1392/11/01
2014-01-22,29440.0,1392/11/02
2014-01-25,29450.0,1392/11/05
2014-01-26,29490.0,1392/11/06
2014-01-27,29480.0,1392/11/07
2014-01-28,29420.0,1392/11/08
2014-01-29,29350.0,1392/11/09
2014-01-30,29380.0,1392/11/10
2014-02-01,29460.0,1392/11/12
2014-02-02,29540.0,1392/11/13
2014-02-03,29470.0,1392/11/14
2014-02-04,29510.0,1392/11/15
2014-02-05,29590.0,1392/11/16
2014-02-06,29600.0,1392/11/17
2014-02-08,29460.0,1392/11/19
2014-02-09,29510.0,1392/11/20
2014-02-10,29500.0,1392/11/21
2014-02-12,29520.0,1392/11/23
2014-02-13,29530.0,1392/11/24
2014-02-15,29480.0,1392/11/26
2014-02-16,29520.0,1392/11/27
2014-02-17,29520.0,1392/11/28
2014-02-18,29520.0,1392/11/29
2014-02-19,29530.0,1392/11/30
2014-02-20,29500.0,1392/12/01
2014-02-22,29600.0,1392/12/03
2014-02-23,29840.0,1392/12/04
2014-02-24,29900.0,1392/12/05
2014-02-25,29880.0,1392/12/06
2014-02-26,30090.0,1392/12/07
2014-02-27,30100.0,1392/12/08
2014-03-01,30590.0,1392/12/10
2014-03-02,31070.0,1392/12/11
2014-03-03,30640.0,1392/12/12
2014-03-04,30520.0,1392/12/13
2014-03-05,30490.0,1392/12/14
2014-03-06,30460.0,1392/12/15
2014-03-08,30440.0,1392/12/17
2014-03-09,30710.0,1392/12/18
2014-03-10,30550.0,1392/12/19
2014-03-11,30370.0,1392/12/20
2014-03-12,30360.0,1392/12/21
2014-03-13,30440.0,1392/12/22
2014-03-15,30200.0,1392/12/24
2014-03-16,29960.0,1392/12/25
2014-03-17,30000.0,1392/12/26
2014-03-18,30140.0,1392/12/27
2014-03-19,30170.0,1392/12/28
2014-03-25,30500.0,1393/01/05
2014-03-26,30580.0,1393/01/06
2014-03-27,30570.0,1393/01/07
2014-03-29,30490.0,1393/01/09
2014-03-30,30640.0,1393/01/10
2014-03-31,30630.0,1393/01/11
2014-04-05,30430.0,1393/01/16
2014-04-06,30580.0,1393/01/17
2014-04-07,30900.0,1393/01/18
2014-04-08,30800.0,1393/01/19
2014-04-09,30810.0,1393/01/20
2014-04-10,30790.0,1393/01/21
2014-04-12,31210.0,1393/01/23
2014-04-13,31300.0,1393/01/24
2014-04-14,31800.0,1393/01/25
2014-04-15,31560.0,1393/01/26
2014-04-16,31710.0,1393/01/27
2014-04-17,31730.0,1393/01/28
2014-04-19,32090.0,1393/01/30
2014-04-20,32400.0,1393/01/31
2014-04-21,33160.0,1393/02/01
2014-04-22,32650.0,1393/02/02
