symbol,year,sales_mrial,production,usd_irr_avg,sales_usd_mn
ارفع,1400,96104375.0,1478748.0,263845.7243816254,364.24457976432853
ارفع,1401,135645811.0,1763041.0,349255.1621621622,388.3859873687951
ارفع,1402,137684076.0,1610890.0,516957.2332155477,266.33552478526207
ارفع,1403,183931061.0,1698715.0,687336.5416666666,267.59971258621067
ارفع,1404,296127919.0,1997712.0,1132359.0391459074,261.514156519965
ارفع,1405,140552976.0,572707.0,1698128.0612244897,82.76936186935735
فسبزوار,1400,34659583.0,255842435.0,263845.7243816254,131.36306484113615
فسبزوار,1401,57978860.0,617033.0,349255.1621621622,166.0071669121956
فسبزوار,1402,105099014.0,825300.0,516957.2332155477,203.30311145134607
فسبزوار,1403,95278737.0,640957.0,687336.5416666666,138.62021182369602
فسبزوار,1404,168997588.0,824505.0,1132359.0391459074,149.24381945806522
فسبزوار,1405,67405273.0,198848.0,1698128.0612244897,39.69386911337845
فصبا,1400,24727163.0,170557.0,263845.7243816254,93.71826304160506
فصبا,1401,89445369.0,829381.0,349255.1621621622,256.10321246581816
فصبا,1402,153981798.0,1219865.0,516957.2332155477,297.86177290181485
فصبا,1403,122668439.0,937524.0,687336.5416666666,178.46925278052473
فصبا,1404,221719134.0,1208547.0,1132359.0391459074,195.8028561040443
فصبا,1405,49010400.0,273092.0,1698128.0612244897,28.861427544315756
کاوه,1400,188014120.0,3205862.0,263845.7243816254,712.5911190740279
کاوه,1401,226559246.0,3274021.0,349255.1621621622,648.6926194516964
کاوه,1402,277954566.0,2765047.0,516957.2332155477,537.674198445939
کاوه,1403,327303265.0,2780264.0,687336.5416666666,476.19069430871355
کاوه,1404,478695471.0,3229381.0,1132359.0391459074,422.7417757543231
کاوه,1405,156539221.0,797801.0,1698128.0612244897,92.18340157874924
کنور,1400,30105725.0,1738696.0,263845.7243816254,114.10351663101123
کنور,1401,26420024.0,1729601.0,349255.1621621622,75.64676735610556
کنور,1402,57135925.0,1823324.0,516957.2332155477,110.52350432279746
کنور,1403,61154976.0,1842664.0,687336.5416666666,88.97384656970262
کنور,1404,95946928.0,2066464.0,1132359.0391459074,84.73189570012077
کنور,1405,35602074.0,586662.0,1698128.0612244897,20.96548241145487
کچاد,1400,432258078.0,17399082.0,263845.7243816254,1638.2985891209046
کچاد,1401,401857116.0,16669324.0,349255.1621621622,1150.6118149040108
کچاد,1402,450137794.0,13991562.0,516957.2332155477,870.7447445895644
کچاد,1403,561763031.0,15707750.0,687336.5416666666,817.3041835340609
کچاد,1404,897841665.0,16923488.0,1132359.0391459074,792.8948628141881
کچاد,1405,254703644.0,3803333.0,1698128.0612244897,149.99083391645843
کگل,1400,458539298.0,27791265.0,263845.7243816254,1737.9068737030982
کگل,1401,376693172.0,20038082.0,349255.1621621622,1078.5615011900616
کگل,1402,444865413.0,16883725.0,516957.2332155477,860.5458719145367
کگل,1403,715886861.0,22294645.0,687336.5416666666,1041.5376130943134
کگل,1404,1236173982.0,26232786.0,1132359.0391459074,1091.6802350360501
کگل,1405,346833051.0,6038774.0,1698128.0612244897,204.24434347425182
کگهر,1400,124248178.0,8541145.0,263845.7243816254,470.9122283152405
کگهر,1401,238139750.0,9764239.0,349255.1621621622,681.8503369448542
کگهر,1402,329164218.0,12350465.0,516957.2332155477,636.7339440296669
کگهر,1403,398077669.0,13029576.0,687336.5416666666,579.159763621375
کگهر,1404,627112048.0,14336213.0,1132359.0391459074,553.8102548048764
کگهر,1405,163866513.0,3407336.0,1698128.0612244897,96.49832467984704
