side,entry_time,exit_time,entry,sl,tp,exit,reason,tp_source
short,2025-07-26 23:05:00+00:00,2025-07-26 23:30:00+00:00,117960.04,118321.00947,117892.79,117892.79,tp,ssl
long,2025-07-28 05:50:00+00:00,2025-07-28 07:05:00+00:00,119679.36,119104.63430800001,119800.0,119104.63430800001,sl,bsl
short,2025-07-28 19:25:00+00:00,2025-07-29 00:15:00+00:00,118092.85,118400.285322,117427.5,118400.285322,sl,ssl
long,2025-07-29 00:15:00+00:00,2025-07-29 02:15:00+00:00,118285.72,117476.589982,118500.0,117476.589982,sl,bsl
short,2025-07-29 20:25:00+00:00,2025-07-29 20:40:00+00:00,117561.58,118023.59999999999,117105.26,117105.26,tp,ssl
long,2025-07-30 08:25:00+00:00,2025-07-30 08:40:00+00:00,118160.0,117643.79653400001,118263.76,118263.76,tp,bsl
short,2025-07-30 11:10:00+00:00,2025-07-30 11:15:00+00:00,118081.68,118505.506362,117928.13,117928.13,tp,ssl
short,2025-07-31 16:05:00+00:00,2025-07-31 16:30:00+00:00,118246.59,118725.84042000001,118127.49,118725.84042000001,sl,ssl
short,2025-08-01 06:20:00+00:00,2025-08-01 06:25:00+00:00,115385.69,115939.61328599999,115266.64,115266.64,tp,ssl
long,2025-08-02 08:15:00+00:00,2025-08-02 08:20:00+00:00,113994.27,113446.736114,114021.0,114021.0,tp,bsl
long,2025-08-02 20:50:00+00:00,2025-08-02 21:45:00+00:00,112547.11,111980.5994,112945.62,112945.62,tp,bsl
short,2025-08-04 19:20:00+00:00,2025-08-04 19:25:00+00:00,114940.01,115743.144,114887.09,114887.09,tp,ssl
long,2025-08-04 22:50:00+00:00,2025-08-05 03:05:00+00:00,115293.74,114593.406734,115720.0,114593.406734,sl,bsl
long,2025-08-07 14:35:00+00:00,2025-08-07 15:40:00+00:00,116630.23,116012.632832,116696.42,116696.42,tp,bsl
long,2025-08-07 16:20:00+00:00,2025-08-07 16:40:00+00:00,116709.06,116181.07913600001,116791.11,116181.07913600001,sl,bsl
short,2025-08-08 09:20:00+00:00,2025-08-08 10:40:00+00:00,116505.52,116996.69466,116449.51,116449.51,tp,ssl
long,2025-08-10 18:50:00+00:00,2025-08-10 19:40:00+00:00,118581.49,118284.35839600001,118693.02,118693.02,tp,bsl
long,2025-08-12 17:45:00+00:00,2025-08-12 18:15:00+00:00,119471.98,118607.96366200001,119857.04,119857.04,tp,bsl
short,2025-08-13 07:35:00+00:00,2025-08-13 08:10:00+00:00,119315.17,119844.14403599998,119135.37,119844.14403599998,sl,ssl
long,2025-08-13 13:45:00+00:00,2025-08-14 00:05:00+00:00,121056.21,119747.92562400001,123672.778752,123672.778752,tp,rr
long,2025-08-15 12:05:00+00:00,2025-08-15 12:10:00+00:00,119072.18,118848.2256,119096.0,119096.0,tp,bsl
short,2025-08-15 19:20:00+00:00,2025-08-15 19:40:00+00:00,117148.11,117905.92647,117008.0,117008.0,tp,ssl
